"","ID","Date","Block","Primary.Type","Description","X.Coordinate","Y.Coordinate","Year","Latitude","Longitude","Location"
"85",9421082,"12/04/2013 12:00:00 AM","026XX S DRAKE AVE","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",NA,NA,2013,NA,NA,""
"167",9415284,"12/03/2013 09:24:00 PM","008XX W LAWRENCE AVE","OFFENSE INVOLVING CHILDREN","CONTRIBUTE DELINQUENCY OF A CHILD",1169934,1932128,2013,41.9692596036265,-87.6505315447331,"(41.96925960362649, -87.65053154473313)"
"209",9415057,"12/03/2013 08:25:00 PM","004XX E RANDOLPH ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1179263,1901370,2013,41.8846496385937,-87.6171738498328,"(41.88464963859371, -87.61717384983282)"
"286",9418199,"12/03/2013 07:00:00 PM","057XX S MICHIGAN AVE","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",1178094,1867080,2013,41.7905820222789,-87.6225085662215,"(41.79058202227888, -87.62250856622148)"
"312",9413971,"12/03/2013 06:40:38 PM","038XX W 78TH ST","OFFENSE INVOLVING CHILDREN","CHILD PORNOGRAPHY",1151568,1852553,2013,41.7512782645224,-87.7201532174715,"(41.75127826452243, -87.72015321747146)"
"499",9415578,"12/03/2013 02:45:00 PM","030XX W ARTHINGTON ST","OFFENSE INVOLVING CHILDREN","AGG CRIM SEX ABUSE FAM MEMBER",1156162,1895841,2013,41.8699751992429,-87.7021532290041,"(41.869975199242866, -87.7021532290041)"
"546",9414972,"12/03/2013 01:41:00 PM","047XX N KEDZIE AVE","OFFENSE INVOLVING CHILDREN","CHILD ABDUCTION",1154224,1931538,2013,41.9679696424927,-87.708313096499,"(41.96796964249269, -87.70831309649901)"
"659",9414907,"12/03/2013 11:00:00 AM","017XX N KIMBALL AVE","OFFENSE INVOLVING CHILDREN","CONTRIBUTE CRIM DELINQUENCY JUVENILE",1153471,1911364,2013,41.9126257150503,-87.7116198206989,"(41.91262571505028, -87.71161982069894)"
"765",9415102,"12/03/2013 08:00:00 AM","060XX S INDIANA AVE","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",1178588,1865207,2013,41.7854311057045,-87.620754126573,"(41.78543110570448, -87.62075412657305)"
"894",9412655,"12/02/2013 11:00:00 PM","125XX S EDBROOKE AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1179529,1821588,2013,41.6657136402322,-87.6186318201297,"(41.66571364023218, -87.61863182012965)"
