"","ID","Date","Block","Primary.Type","Description","X.Coordinate","Y.Coordinate","Year","Latitude","Longitude","Location"
"619034",20222,"12/31/2011 03:05:00 PM","060XX S GREEN ST","HOMICIDE","FIRST DEGREE MURDER",1171713,1864776,2011,41.7844019796606,-87.6459735431334,"(41.78440197966055, -87.64597354313342)"
"619293",20221,"12/31/2011 05:29:00 AM","044XX S WOOD ST","HOMICIDE","FIRST DEGREE MURDER",1165054,1875155,2011,41.8130266913025,-87.6700944976751,"(41.813026691302476, -87.67009449767507)"
"619555",20220,"12/30/2011 09:33:00 PM","060XX S MORGAN ST","HOMICIDE","FIRST DEGREE MURDER",1170720,1864731,2011,41.7843002200208,-87.6496155804283,"(41.784300220020754, -87.64961558042833)"
"620472",20219,"12/29/2011 09:16:00 PM","015XX S KEDZIE AVE","HOMICIDE","FIRST DEGREE MURDER",1155321,1892135,2011,41.8598224629003,-87.7053403350853,"(41.85982246290032, -87.70534033508527)"
"620478",20218,"12/29/2011 09:08:00 PM","012XX N AUSTIN BLVD","HOMICIDE","FIRST DEGREE MURDER",1136184,1907439,2011,41.9021813306161,-87.7752225504511,"(41.902181330616074, -87.77522255045112)"
"620947",20216,"12/29/2011 11:20:00 AM","007XX E 731","HOMICIDE","FIRST DEGREE MURDER",1183127,1835453,2011,41.7036784729084,-87.6050355660948,"(41.7036784729084, -87.60503556609484)"
"621061",20217,"12/29/2011 08:10:00 AM","008XX W 847","HOMICIDE","FIRST DEGREE MURDER",1171340,1871316,2011,41.802356635026,-87.6471497157612,"(41.80235663502604, -87.64714971576123)"
"621473",20214,"12/28/2011 06:05:00 PM","065XX S MOZART ST","HOMICIDE","FIRST DEGREE MURDER",1158539,1861347,2011,41.7752711568441,-87.6943683036341,"(41.77527115684411, -87.69436830363409)"
"622277",20212,"12/27/2011 06:55:00 PM","066XX S HALSTED ST","HOMICIDE","FIRST DEGREE MURDER",1172065,1861062,2011,41.7742026054533,-87.6447920068762,"(41.774202605453276, -87.64479200687619)"
"622278",20213,"12/27/2011 06:55:00 PM","066XX S HALSTED ST","HOMICIDE","FIRST DEGREE MURDER",1172065,1861062,2011,41.7742026054533,-87.6447920068762,"(41.774202605453276, -87.64479200687619)"
"624025",20209,"12/25/2011 01:34:00 AM","003XX N 320","HOMICIDE","FIRST DEGREE MURDER",1169996,1902306,2011,41.8874252613655,-87.6511759744055,"(41.88742526136547, -87.65117597440548)"
"624026",20210,"12/25/2011 01:34:00 AM","003XX N 320","HOMICIDE","FIRST DEGREE MURDER",1169996,1902306,2011,41.8874252613655,-87.6511759744055,"(41.88742526136547, -87.65117597440548)"
"624401",20208,"12/24/2011 02:58:00 PM","043XX S STATE ST","HOMICIDE","FIRST DEGREE MURDER",1176953,1876445,2011,41.8163062677958,-87.6264098698577,"(41.81630626779578, -87.62640986985768)"
"624535",20207,"12/24/2011 10:26:00 AM","005XX S 525","HOMICIDE","FIRST DEGREE MURDER",1144523,1896947,2011,41.8732370960902,-87.7448560777375,"(41.87323709609017, -87.74485607773748)"
"624628",20211,"12/24/2011 06:40:00 AM","034XX W 38TH ST","HOMICIDE","FIRST DEGREE MURDER",1154238,1879151,2011,41.8242144633243,-87.7096618359816,"(41.82421446332431, -87.70966183598163)"
