School,Latitude,Longitude
Bass,41.7794589,-87.6642888
Bass,41.7794816,-87.6629973
Bass,41.7794889,-87.6617874
Bass,41.7795367,-87.6593646
Bass,41.7795473,-87.6581789
Bass,41.7795651,-87.6570387
Bass,41.7795989,-87.6557257
Bass,41.7796162,-87.6544981
Bass,41.7777923,-87.6544557
Bass,41.7759607,-87.6544188
Bass,41.7741437,-87.6543632
Bass,41.7723216,-87.6543184
Brennemann,-122.2887505,37.863474
Brennemann,41.965368,-87.654544
Brennemann,41.9636006,-87.6547657
Brennemann,41.961858,-87.654802
Brennemann,41.9617578,-87.656325
Brennemann,41.9618699,-87.6522097
Brennemann,41.961923,-87.649984
Brennemann,41.9636378,-87.6499682
Brennemann,41.9645091,-87.6499679
Brennemann,41.9656254,-87.650079
Brennemann,41.9592901,-87.6498262
Brennemann,41.9584978,-87.6498247
Brennemann,41.9560192,-87.6497566
Burnham,41.7208339,-87.578946
Burnham,41.7206032,-87.5777428
Burnham,41.7206032,-87.5777428
Burnham,41.7206098,-87.5765193
Burnham,41.720637,-87.5753013
Burnham,41.7187896,-87.5764727
Burnham,41.7187825,-87.5772256
Burnham,41.7170517,-87.5756739
Burnham,41.7152927,-87.567029
Burnham,41.7134829,-87.5670003
Burnham,41.7189966,-87.5598343
Burnham,41.7172511,-87.559808
Burnham,41.715387,-87.5597712
Cardenas/Castellanos,-95.677068,37.0625
Cardenas/Castellanos,41.8516613,-87.7162158
Cardenas/Castellanos,41.8541337,-87.7162754
Cardenas/Castellanos,41.8498308,-87.7161684
Cardenas/Castellanos,41.8498,-87.7173632
Cardenas/Castellanos,41.8480252,-87.7161148
Cardenas/Castellanos,41.8462134,-87.7160527
Cardenas/Castellanos,41.8462209,-87.714835
Cather,41.8828322,-87.7012479
Cather,41.8819435,-87.7012323
Cather,41.8810168,-87.7012048
Cather,41.8797095,-87.7011702
Cather,41.8791879,-87.701139
Cather,41.8782917,-87.7011264
Cather,41.8828981,-87.6963298
Chappell,41.9759575,-87.6842873
Chappell,41.9760265,-87.6793982
Chappell,41.976069,-87.6764145
Chappell,41.9760923,-87.6749129
Chappell,41.9761714,-87.6695407
