"","ID","Date","Block","Primary.Type","Description","X.Coordinate","Y.Coordinate","Year","Latitude","Longitude","Location"
"1339986",7300885,"12/30/2009 08:00:00 PM","035XX S GILES AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1178797,1881774,2009,41.8308876401505,-87.619483316739,"(41.83088764015046, -87.619483316739)"
"1341493",7293905,"12/29/2009 12:20:00 AM","077XX S GREEN ST","SEX OFFENSE","SEX RELATION IN FAMILY",1172014,1853674,2009,41.7539301445808,-87.6451956269548,"(41.753930144580806, -87.64519562695476)"
"1341801",7291920,"12/28/2009 05:00:00 PM","034XX W 65TH ST","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1154546,1861262,2009,41.7751183838138,-87.7090085500553,"(41.77511838381382, -87.70900855005534)"
"1342223",7306107,"12/28/2009 05:00:00 AM","036XX S SACRAMENTO AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1156996,1880467,2009,41.8277703459069,-87.6995079428317,"(41.827770345906934, -87.6995079428317)"
"1342875",7910745,"12/27/2009 09:00:00 AM","046XX S WASHTENAW AVE","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",NA,NA,2009,NA,NA,""
"1343785",7289279,"12/26/2009 01:00:00 AM","032XX W IRVING PARK RD","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1154308,1926458,2009,41.9540281190074,-87.708140516389,"(41.9540281190074, -87.70814051638904)"
"1344311",7288672,"12/25/2009 06:17:00 AM","065XX S LOWE AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1173204,1861446,2009,41.7752312458533,-87.6406053173691,"(41.77523124585333, -87.64060531736911)"
"1344323",8443609,"12/25/2009 05:00:00 AM","052XX S TRIPP AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",NA,NA,2009,NA,NA,""
"1345135",7288098,"12/24/2009 02:00:00 AM","079XX S CARPENTER ST","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1170654,1852107,2009,41.7496598320599,-87.6502251520345,"(41.74965983205992, -87.65022515203454)"
"1345329",7287335,"12/23/2009 08:30:00 PM","048XX S WESTERN BLVD","SEX OFFENSE","ATT CRIM SEXUAL ABUSE",1161379,1872530,2009,41.8059004098622,-87.6836473536059,"(41.8059004098622, -87.68364735360586)"
"1346121",7288346,"12/22/2009 11:00:00 PM","009XX E 45TH ST","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1183465,1875334,2009,41.8131081097588,-87.602557351723,"(41.81310810975876, -87.60255735172296)"
"1346373",7286505,"12/22/2009 06:15:00 PM","029XX S LOOMIS ST","SEX OFFENSE","PUBLIC INDECENCY",1168489,1885534,2009,41.8414342632377,-87.6571951885233,"(41.84143426323765, -87.65719518852327)"
"1346464",7444483,"12/22/2009 04:00:00 PM","020XX W 68TH PL","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",NA,NA,2009,NA,NA,""
"1347650",7283391,"12/21/2009 09:15:00 AM","012XX N MILWAUKEE AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1165728,1908072,2009,41.9033396162259,-87.6666847614761,"(41.90333961622591, -87.6666847614761)"
"1348764",7292057,"12/20/2009 12:01:00 AM","003XX S SACRAMENTO BLVD","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1156467,1898488,2009,41.8772326763358,-87.7009618822709,"(41.87723267633577, -87.70096188227087)"
"1348778",7292078,"12/20/2009 12:01:00 AM","010XX N MONTICELLO AVE","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1151901,1906490,2009,41.8992820822121,-87.7175161830578,"(41.89928208221214, -87.71751618305784)"
"1349244",7287737,"12/19/2009 02:00:00 PM","042XX W ADAMS ST","SEX OFFENSE","INDECENT SOLICITATION/CHILD",1147972,1898709,2009,41.8780066440713,-87.732147675827,"(41.87800664407126, -87.73214767582695)"
"1350942",7287199,"12/17/2009 08:00:00 PM","019XX S SAWYER AVE","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1155052,1889944,2009,41.8538155077146,-87.706386488502,"(41.85381550771458, -87.70638648850198)"
"1351421",7280357,"12/17/2009 11:45:00 AM","036XX N MILWAUKEE AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1146826,1923647,2009,41.9464609854248,-87.7357175469124,"(41.946460985424835, -87.73571754691244)"
"1351665",7279697,"12/17/2009 04:52:00 AM","104XX S STATE ST","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1178135,1835775,2009,41.7046764809948,-87.6233054351748,"(41.70467648099477, -87.62330543517477)"
"1351776",7412900,"12/17/2009 12:00:00 AM","074XX N WESTERN AVE","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1159055,1949259,2009,42.0164986741681,-87.6900603897891,"(42.016498674168055, -87.69006038978914)"
"1352933",7278697,"12/15/2009 07:15:00 PM","027XX S CENTRAL PARK AVE","SEX OFFENSE","OTHER",1152767,1885718,2009,41.8422643278991,-87.7148850525591,"(41.84226432789906, -87.71488505255914)"
"1353523",7289602,"12/15/2009 08:00:00 AM","048XX N ALBANY AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1154877,1931912,2009,41.9689828234564,-87.705901984255,"(41.96898282345638, -87.70590198425498)"
"1353600",7274619,"12/15/2009 03:00:00 AM","073XX S CARPENTER ST","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1170538,1856343,2009,41.7612864946308,-87.6505270272075,"(41.761286494630816, -87.65052702720749)"
"1353985",7274205,"12/14/2009 05:35:00 PM","014XX N MONTICELLO AVE","SEX OFFENSE","PUBLIC INDECENCY",1151854,1909217,2009,41.9067661578637,-87.7176169232392,"(41.906766157863665, -87.71761692323916)"
"1354273",7276749,"12/14/2009 12:22:33 PM","048XX S MICHIGAN AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1177938,1872816,2009,41.8063256813592,-87.6229067490316,"(41.80632568135922, -87.62290674903163)"
"1354309",7274392,"12/14/2009 12:00:00 PM","036XX W FIFTH AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1152398,1897915,2009,41.8757415986428,-87.7159173159305,"(41.87574159864276, -87.71591731593048)"
"1354321",7273636,"12/14/2009 11:45:00 AM","009XX W BUENA AVE","SEX OFFENSE","PUBLIC INDECENCY",1168967,1928134,2009,41.9583210303356,-87.654203579614,"(41.95832103033556, -87.65420357961405)"
"1354570",7272998,"12/14/2009 03:35:00 AM","042XX W 25TH PL","SEX OFFENSE","PUBLIC INDECENCY",1148458,1886674,2009,41.8449717735397,-87.7306733767513,"(41.84497177353973, -87.7306733767513)"
"1354833",7287842,"12/13/2009 08:30:00 PM","009XX S SPRINGFIELD AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1150491,1895502,2009,41.8691574826708,-87.7229821666555,"(41.869157482670836, -87.72298216665553)"
"1354901",7276110,"12/13/2009 07:00:00 PM","050XX S LAWLER AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1143513,1870459,2009,41.800569165237,-87.7492256529445,"(41.800569165237015, -87.74922565294449)"
"1354927",7272840,"12/13/2009 06:45:00 PM","115XX S WENTWORTH AVE","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1176957,1828623,2009,41.6850769198178,-87.6278335950458,"(41.68507691981776, -87.62783359504579)"
"1355219",7272384,"12/13/2009 12:05:00 PM","040XX W MADISON ST","SEX OFFENSE","PUBLIC INDECENCY",1149219,1899740,2009,41.8808117636187,-87.7275422288854,"(41.88081176361871, -87.7275422288854)"
"1355581",7301412,"12/13/2009 12:00:00 AM","014XX N LATROBE AVE","SEX OFFENSE","AGG CRIMINAL SEXUAL ABUSE",1141054,1909350,2009,41.9073369991294,-87.7572869292025,"(41.90733699912937, -87.75728692920245)"
"1355988",7271743,"12/12/2009 04:00:00 PM","076XX S CICERO AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1145766,1853738,2009,41.7546416201707,-87.74138515773,"(41.754641620170695, -87.74138515773002)"
"1357171",7270408,"12/11/2009 12:15:00 PM","042XX W ADAMS ST","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1147844,1898626,2009,41.8777813418475,-87.7326197987279,"(41.877781341847516, -87.73261979872787)"
"1357305",7270300,"12/11/2009 09:20:00 AM","009XX S ALBANY AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1155797,1895839,2009,41.8699770679252,-87.7034933131903,"(41.869977067925205, -87.7034933131903)"
"1357530",7356728,"12/11/2009 12:00:00 AM","037XX N CALIFORNIA AVE","SEX OFFENSE","INDECENT SOLICITATION/CHILD",1157003,1924988,2009,41.9499399705094,-87.6982733779016,"(41.94993997050936, -87.69827337790157)"
"1357566",7272404,"12/10/2009 10:30:00 PM","014XX W MORSE AVE","SEX OFFENSE","OTHER",1165676,1946221,2009,42.0080232310347,-87.6657842131816,"(42.008023231034684, -87.66578421318161)"
"1357827",7342861,"12/10/2009 04:00:00 PM","045XX S WASHTENAW AVE","SEX OFFENSE","CRIMINAL SEXUAL ABUSE",1159172,1874319,2009,41.8108551494544,-87.691692861446,"(41.810855149454405, -87.69169286144601)"
